"","gathering.size","p.transmit","outbreak.size"
"1",1,0.02,10
"2",1,0.04,10
"3",1,0.06,10
"4",1,0.08,10
"5",1,0.1,10
"6",1,0.12,10
"7",1,0.14,10
"8",1,0.16,10
"9",1,0.18,10
"10",1,0.2,10
"11",1,0.22,10
"12",1,0.24,10
"13",1,0.26,10
"14",1,0.28,10
"15",1,0.3,10
"16",1,0.32,10
"17",1,0.34,10
"18",1,0.36,10
"19",1,0.38,10
"20",1,0.4,10
"21",2,0.02,10
"22",2,0.04,10
"23",2,0.06,11
"24",2,0.08,10
"25",2,0.1,10
"26",2,0.12,10
"27",2,0.14,11
"28",2,0.16,10
"29",2,0.18,10
"30",2,0.2,10
"31",2,0.22,13
"32",2,0.24,12
"33",2,0.26,10
"34",2,0.28,11
"35",2,0.3,10
"36",2,0.32,12
"37",2,0.34,10
"38",2,0.36,11
"39",2,0.38,12
"40",2,0.4,12
"41",3,0.02,11
"42",3,0.04,12
"43",3,0.06,10
"44",3,0.08,10
"45",3,0.1,15
"46",3,0.12,13
"47",3,0.14,12
"48",3,0.16,12
"49",3,0.18,12
"50",3,0.2,13
"51",3,0.22,13
"52",3,0.24,12
"53",3,0.26,14
"54",3,0.28,13
"55",3,0.3,30
"56",3,0.32,14
"57",3,0.34,15
"58",3,0.36,19
"59",3,0.38,21
"60",3,0.4,36
"61",4,0.02,10
"62",4,0.04,11
"63",4,0.06,11
"64",4,0.08,14
"65",4,0.1,11
"66",4,0.12,25
"67",4,0.14,10
"68",4,0.16,15
"69",4,0.18,13
"70",4,0.2,12
"71",4,0.22,16
"72",4,0.24,28
"73",4,0.26,61
"74",4,0.28,50
"75",4,0.3,58
"76",4,0.32,63
"77",4,0.34,111
"78",4,0.36,20
"79",4,0.38,246
"80",4,0.4,279
"81",5,0.02,11
"82",5,0.04,13
"83",5,0.06,12
"84",5,0.08,18
"85",5,0.1,15
"86",5,0.12,34
"87",5,0.14,29
"88",5,0.16,102
"89",5,0.18,24
"90",5,0.2,81
"91",5,0.22,169
"92",5,0.24,161
"93",5,0.26,317
"94",5,0.28,392
"95",5,0.3,458
"96",5,0.32,650
"97",5,0.34,655
"98",5,0.36,702
"99",5,0.38,698
"100",5,0.4,716
"101",6,0.02,10
"102",6,0.04,14
"103",6,0.06,18
"104",6,0.08,16
"105",6,0.1,19
"106",6,0.12,32
"107",6,0.14,45
"108",6,0.16,24
"109",6,0.18,499
"110",6,0.2,539
"111",6,0.22,586
"112",6,0.24,592
"113",6,0.26,663
"114",6,0.28,758
"115",6,0.3,747
"116",6,0.32,778
"117",6,0.34,795
"118",6,0.36,873
"119",6,0.38,885
"120",6,0.4,843
"121",7,0.02,12
"122",7,0.04,16
"123",7,0.06,15
"124",7,0.08,125
"125",7,0.1,184
"126",7,0.12,400
"127",7,0.14,541
"128",7,0.16,656
"129",7,0.18,682
"130",7,0.2,758
"131",7,0.22,756
"132",7,0.24,851
"133",7,0.26,871
"134",7,0.28,852
"135",7,0.3,870
"136",7,0.32,891
"137",7,0.34,905
"138",7,0.36,914
"139",7,0.38,933
"140",7,0.4,941
"141",8,0.02,11
"142",8,0.04,15
"143",8,0.06,39
"144",8,0.08,264
"145",8,0.1,442
"146",8,0.12,471
"147",8,0.14,691
"148",8,0.16,758
"149",8,0.18,839
"150",8,0.2,861
"151",8,0.22,902
"152",8,0.24,902
"153",8,0.26,906
"154",8,0.28,918
"155",8,0.3,936
"156",8,0.32,946
"157",8,0.34,949
"158",8,0.36,952
"159",8,0.38,950
"160",8,0.4,952
"161",9,0.02,19
"162",9,0.04,67
"163",9,0.06,83
"164",9,0.08,495
"165",9,0.1,711
"166",9,0.12,752
"167",9,0.14,814
"168",9,0.16,877
"169",9,0.18,901
"170",9,0.2,919
"171",9,0.22,947
"172",9,0.24,939
"173",9,0.26,948
"174",9,0.28,961
"175",9,0.3,956
"176",9,0.32,953
"177",9,0.34,968
"178",9,0.36,969
"179",9,0.38,972
"180",9,0.4,970
"181",10,0.02,26
"182",10,0.04,34
"183",10,0.06,318
"184",10,0.08,683
"185",10,0.1,779
"186",10,0.12,876
"187",10,0.14,896
"188",10,0.16,911
"189",10,0.18,940
"190",10,0.2,948
"191",10,0.22,965
"192",10,0.24,962
"193",10,0.26,972
"194",10,0.28,977
"195",10,0.3,977
"196",10,0.32,973
"197",10,0.34,974
"198",10,0.36,982
"199",10,0.38,983
"200",10,0.4,989
"201",11,0.02,21
"202",11,0.04,265
"203",11,0.06,626
"204",11,0.08,806
"205",11,0.1,828
"206",11,0.12,906
"207",11,0.14,936
"208",11,0.16,945
"209",11,0.18,952
"210",11,0.2,977
"211",11,0.22,968
"212",11,0.24,971
"213",11,0.26,975
"214",11,0.28,979
"215",11,0.3,981
"216",11,0.32,983
"217",11,0.34,983
"218",11,0.36,989
"219",11,0.38,995
"220",11,0.4,994
"221",12,0.02,13
"222",12,0.04,403
"223",12,0.06,721
"224",12,0.08,861
"225",12,0.1,905
"226",12,0.12,933
"227",12,0.14,957
"228",12,0.16,970
"229",12,0.18,970
"230",12,0.2,969
"231",12,0.22,979
"232",12,0.24,980
"233",12,0.26,984
"234",12,0.28,984
"235",12,0.3,987
"236",12,0.32,995
"237",12,0.34,994
"238",12,0.36,992
"239",12,0.38,990
"240",12,0.4,998
"241",13,0.02,31
"242",13,0.04,570
"243",13,0.06,819
"244",13,0.08,888
"245",13,0.1,931
"246",13,0.12,948
"247",13,0.14,969
"248",13,0.16,982
"249",13,0.18,988
"250",13,0.2,978
"251",13,0.22,985
"252",13,0.24,990
"253",13,0.26,988
"254",13,0.28,990
"255",13,0.3,996
"256",13,0.32,989
"257",13,0.34,994
"258",13,0.36,995
"259",13,0.38,996
"260",13,0.4,993
"261",14,0.02,12
"262",14,0.04,697
"263",14,0.06,851
"264",14,0.08,936
"265",14,0.1,963
"266",14,0.12,974
"267",14,0.14,985
"268",14,0.16,990
"269",14,0.18,988
"270",14,0.2,992
"271",14,0.22,989
"272",14,0.24,990
"273",14,0.26,994
"274",14,0.28,993
"275",14,0.3,996
"276",14,0.32,996
"277",14,0.34,996
"278",14,0.36,996
"279",14,0.38,996
"280",14,0.4,990
"281",15,0.02,40
"282",15,0.04,776
"283",15,0.06,904
"284",15,0.08,945
"285",15,0.1,981
"286",15,0.12,975
"287",15,0.14,984
"288",15,0.16,992
"289",15,0.18,992
"290",15,0.2,987
"291",15,0.22,992
"292",15,0.24,994
"293",15,0.26,999
"294",15,0.28,998
"295",15,0.3,996
"296",15,0.32,997
"297",15,0.34,996
"298",15,0.36,999
"299",15,0.38,998
"300",15,0.4,1000
"301",16,0.02,373
"302",16,0.04,818
"303",16,0.06,947
"304",16,0.08,967
"305",16,0.1,983
"306",16,0.12,989
"307",16,0.14,989
"308",16,0.16,996
"309",16,0.18,997
"310",16,0.2,997
"311",16,0.22,997
"312",16,0.24,995
"313",16,0.26,997
"314",16,0.28,1000
"315",16,0.3,997
"316",16,0.32,997
"317",16,0.34,995
"318",16,0.36,998
"319",16,0.38,998
"320",16,0.4,995
"321",17,0.02,496
"322",17,0.04,832
"323",17,0.06,953
"324",17,0.08,972
"325",17,0.1,989
"326",17,0.12,993
"327",17,0.14,993
"328",17,0.16,995
"329",17,0.18,996
"330",17,0.2,994
"331",17,0.22,997
"332",17,0.24,997
"333",17,0.26,999
"334",17,0.28,996
"335",17,0.3,999
"336",17,0.32,998
"337",17,0.34,997
"338",17,0.36,997
"339",17,0.38,998
"340",17,0.4,998
"341",18,0.02,589
"342",18,0.04,919
"343",18,0.06,960
"344",18,0.08,980
"345",18,0.1,986
"346",18,0.12,993
"347",18,0.14,998
"348",18,0.16,999
"349",18,0.18,997
"350",18,0.2,997
"351",18,0.22,999
"352",18,0.24,999
"353",18,0.26,999
"354",18,0.28,997
"355",18,0.3,998
"356",18,0.32,999
"357",18,0.34,999
"358",18,0.36,1000
"359",18,0.38,1000
"360",18,0.4,998
"361",19,0.02,636
"362",19,0.04,925
"363",19,0.06,968
"364",19,0.08,986
"365",19,0.1,993
"366",19,0.12,998
"367",19,0.14,998
"368",19,0.16,998
"369",19,0.18,998
"370",19,0.2,1000
"371",19,0.22,998
"372",19,0.24,997
"373",19,0.26,998
"374",19,0.28,997
"375",19,0.3,998
"376",19,0.32,998
"377",19,0.34,998
"378",19,0.36,999
"379",19,0.38,1000
"380",19,0.4,1000
"381",20,0.02,665
"382",20,0.04,927
"383",20,0.06,981
"384",20,0.08,995
"385",20,0.1,993
"386",20,0.12,997
"387",20,0.14,998
"388",20,0.16,999
"389",20,0.18,1000
"390",20,0.2,999
"391",20,0.22,998
"392",20,0.24,999
"393",20,0.26,999
"394",20,0.28,999
"395",20,0.3,999
"396",20,0.32,999
"397",20,0.34,1000
"398",20,0.36,1000
"399",20,0.38,999
"400",20,0.4,1000
